UID        PID  PPID  C STIME TTY          TIME CMD
root         1     0  0 15:45 ?        00:00:02 /sbin/init splash
root         2     0  0 15:45 ?        00:00:00 [kthreadd]
root         3     2  0 15:45 ?        00:00:00 [rcu_gp]
root         4     2  0 15:45 ?        00:00:00 [rcu_par_gp]
root         6     2  0 15:45 ?        00:00:00 [kworker/0:0H-kblockd]
root         8     2  0 15:45 ?        00:00:00 [mm_percpu_wq]
root         9     2  0 15:45 ?        00:00:00 [ksoftirqd/0]
root        10     2  0 15:45 ?        00:00:07 [rcu_sched]
root        11     2  0 15:45 ?        00:00:00 [migration/0]
root        12     2  0 15:45 ?        00:00:00 [idle_inject/0]
root        14     2  0 15:45 ?        00:00:00 [cpuhp/0]
root        15     2  0 15:45 ?        00:00:00 [kdevtmpfs]
root        16     2  0 15:45 ?        00:00:00 [netns]
root        17     2  0 15:45 ?        00:00:00 [rcu_tasks_kthre]
root        18     2  0 15:45 ?        00:00:00 [kauditd]
root        19     2  0 15:45 ?        00:00:00 [khungtaskd]
root        20     2  0 15:45 ?        00:00:00 [oom_reaper]
root        21     2  0 15:45 ?        00:00:00 [writeback]
root        22     2  0 15:45 ?        00:00:00 [kcompactd0]
root        23     2  0 15:45 ?        00:00:00 [ksmd]
root        24     2  0 15:45 ?        00:00:00 [khugepaged]
root       116     2  0 15:45 ?        00:00:00 [kintegrityd]
root       117     2  0 15:45 ?        00:00:00 [kblockd]
root       118     2  0 15:45 ?        00:00:00 [blkcg_punt_bio]
root       119     2  0 15:45 ?        00:00:00 [tpm_dev_wq]
root       120     2  0 15:45 ?        00:00:00 [ata_sff]
root       121     2  0 15:45 ?        00:00:00 [md]
root       122     2  0 15:45 ?        00:00:00 [edac-poller]
root       123     2  0 15:45 ?        00:00:00 [devfreq_wq]
root       124     2  0 15:45 ?        00:00:00 [watchdogd]
root       129     2  0 15:45 ?        00:00:00 [kswapd0]
root       130     2  0 15:45 ?        00:00:00 [kworker/u3:0]
root       131     2  0 15:45 ?        00:00:00 [ecryptfs-kthrea]
root       134     2  0 15:45 ?        00:00:00 [kthrotld]
root       135     2  0 15:45 ?        00:00:00 [acpi_thermal_pm]
root       136     2  0 15:45 ?        00:00:00 [scsi_eh_0]
root       137     2  0 15:45 ?        00:00:00 [scsi_tmf_0]
root       138     2  0 15:45 ?        00:00:00 [scsi_eh_1]
root       139     2  0 15:45 ?        00:00:00 [scsi_tmf_1]
root       142     2  0 15:45 ?        00:00:00 [ipv6_addrconf]
root       153     2  0 15:45 ?        00:00:00 [kstrp]
root       172     2  0 15:45 ?        00:00:00 [charger_manager]
root       173     2  0 15:45 ?        00:00:01 [kworker/0:1H-kblockd]
root       213     2  0 15:45 ?        00:00:00 [scsi_eh_2]
root       215     2  0 15:45 ?        00:00:00 [scsi_tmf_2]
root       217     2  0 15:45 ?        00:00:00 [cryptd]
root       233     2  0 15:45 ?        00:00:06 [irq/18-vmwgfx]
root       235     2  0 15:45 ?        00:00:00 [ttm_swap]
root       310     2  0 15:45 ?        00:00:00 [jbd2/sda1-8]
root       311     2  0 15:45 ?        00:00:00 [ext4-rsv-conver]
